evtime_ymd,evtime_hms,evlat,evlon,evdep,Mg
20030429,02384055,33.1157,243.9263,12.81,3.3
20030502,10080939,33.9188,242.2257,11.73,2.4
20030503,14181530,33.9725,242.9163,15.27,2.8
20030504,05240725,32.8508,244.2433,15.75,2.4
20030505,21290852,33.1975,243.2775,10.68,2.3
20030506,19101540,33.4632,243.496,12.08,2.4
20030509,13235594,34.1422,242.9402,8.73,2.6
20030514,03240138,34.0138,243.6768,11.33,2.7
20030514,13352715,34.0072,243.0528,17.05,2.2
20030514,22471846,33.7492,243.9765,8.22,3.9
20030517,11272647,33.1812,244.3953,2.98,3.1
20030518,06263249,33.9877,243.3212,17.96,2.3
20030519,01155709,33.177,244.4003,1.92,2.4
20030522,13444301,34.3153,242.9845,5.68,2.3
20030523,21431384,32.95,244.4418,14.65,2.5
20030523,21551420,32.943,244.4457,16.84,2.8
20030523,21571862,32.9488,244.4462,15.41,2.2
20030523,22435744,32.9477,244.4485,15.24,2.8
20030523,23533798,32.9478,244.4458,15.83,3.5
20030524,00124850,32.9455,244.4477,15.08,2.2
20030524,00205214,32.9432,244.4473,15.51,2.6
20030524,00205858,32.9428,244.4465,15.19,3.1
20030524,01123455,32.9497,244.4482,15.16,2.3
20030524,01383746,32.9477,244.4515,12.86,2.6
20030524,01424225,32.9507,244.4432,15.62,2.4
20030524,01503963,32.9465,244.4445,15.76,2.3
20030524,01562927,32.9547,244.4487,15.07,2.3
20030524,02042895,32.9485,244.4497,16.0,4.2
20030524,02074500,32.9507,244.4527,14.95,2.6
20030524,02175688,32.9617,244.4458,14.01,2.3
20030524,02374222,32.954,244.446,15.02,2.7
20030524,02501272,32.9468,244.4547,14.69,2.7
20030524,03032119,32.9468,244.4557,15.3,2.5
20030524,03251572,32.9608,244.449,15.09,2.3
20030524,03303873,32.9513,244.4638,14.85,2.5
20030524,03463206,32.9557,244.4483,14.27,2.2
20030524,04290194,32.9465,244.441,17.09,2.5
20030524,04464014,32.951,244.4362,13.47,2.2
20030524,04514971,32.9468,244.4487,14.54,2.8
20030524,05295226,32.9543,244.452,13.71,2.5
20030524,06300384,32.9587,244.4513,14.69,2.5
20030524,06511046,32.9615,244.4555,16.73,3.8
20030524,06580719,32.9523,244.4497,14.49,2.7
20030524,07012790,32.9583,244.4568,14.39,2.6
20030524,07113296,32.9562,244.4595,14.94,2.3
20030524,08255669,32.9588,244.4482,15.49,2.3
20030527,18493372,34.0073,243.271,19.6,2.3
20030601,02595151,33.2548,243.7885,7.94,2.3
20030604,14114499,34.058,242.747,14.0,2.3
20030604,19272592,34.0595,242.7493,13.65,2.2
20030605,07585405,33.8673,243.803,12.47,2.9
20030605,14161936,34.3452,243.5415,4.36,2.8
20030609,15184712,34.3545,243.1545,10.36,2.3
20030612,03530770,32.9515,244.4462,17.02,3.6
20030612,03541055,32.9568,244.4505,15.78,3.4
20030612,03565960,32.9617,244.4512,14.95,2.3
20030612,04025877,32.9498,244.443,17.26,2.5
20030612,04080747,32.964,244.4507,15.29,2.6
20030613,07524733,34.305,243.1652,7.29,3.2
20030615,18395696,33.9902,243.1742,13.15,2.3
20030617,20250522,34.1828,242.5207,3.28,3.1
20030617,20251456,34.1773,242.5258,4.0,3.4
20030620,10114215,33.1655,244.365,3.21,2.2
20030620,11140338,33.1633,244.3637,3.9,2.3
